-2,-2,-2,-2,-2,-2,-1.96,-1.84,-1.64,-1.36,-1,-0.64,-0.36,-0.16,-0.0400000000000001,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-1.96,-1.84,-1.64,-1.36,-1,-0.64,-0.36,-0.16,-0.0400000000000001,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-1.96,-1.84,-1.64,-1.36,-1,-0.64,-0.36,-0.16,-0.0400000000000001,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-1.96,-1.84,-1.64,-1.36,-1,-0.64,-0.36,-0.16,-0.0400000000000001,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-1.96,-1.84,-1.64,-1.36,-1,-0.64,-0.36,-0.16,-0.0400000000000001,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-1.96,-1.84,-1.64,-1.36,-1,-0.64,-0.36,-0.16,-0.0400000000000001,0,0,0,0,0,0
-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.92,-1.8,-1.6,-1.32,-0.96,-0.6,-0.32,-0.12,0,0.0400000000000001,0.0400000000000001,0.0400000000000001,0.0400000000000001,0.0400000000000001,0.0400000000000001
-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.8,-1.68,-1.48,-1.2,-0.84,-0.48,-0.2,0,0.12,0.16,0.16,0.16,0.16,0.16,0.16
-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.6,-1.48,-1.28,-1,-0.64,-0.28,0,0.2,0.32,0.36,0.36,0.36,0.36,0.36,0.36
-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.32,-1.2,-1,-0.72,-0.36,0,0.28,0.48,0.6,0.64,0.64,0.64,0.64,0.64,0.64
-1,-1,-1,-1,-1,-1,-0.96,-0.84,-0.64,-0.36,0,0.36,0.64,0.84,0.96,1,1,1,1,1,1
-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.6,-0.48,-0.28,0,0.36,0.72,1,1.2,1.32,1.36,1.36,1.36,1.36,1.36,1.36
-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-0.32,-0.2,0,0.28,0.64,1,1.28,1.48,1.6,1.64,1.64,1.64,1.64,1.64,1.64
-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.12,0,0.2,0.48,0.84,1.2,1.48,1.68,1.8,1.84,1.84,1.84,1.84,1.84,1.84
-0.0400000000000001,-0.0400000000000001,-0.0400000000000001,-0.0400000000000001,-0.0400000000000001,-0.0400000000000001,0,0.12,0.32,0.6,0.96,1.32,1.6,1.8,1.92,1.96,1.96,1.96,1.96,1.96,1.96
0,0,0,0,0,0,0.0400000000000001,0.16,0.36,0.64,1,1.36,1.64,1.84,1.96,2,2,2,2,2,2
0,0,0,0,0,0,0.0400000000000001,0.16,0.36,0.64,1,1.36,1.64,1.84,1.96,2,2,2,2,2,2
0,0,0,0,0,0,0.0400000000000001,0.16,0.36,0.64,1,1.36,1.64,1.84,1.96,2,2,2,2,2,2
0,0,0,0,0,0,0.0400000000000001,0.16,0.36,0.64,1,1.36,1.64,1.84,1.96,2,2,2,2,2,2
0,0,0,0,0,0,0.0400000000000001,0.16,0.36,0.64,1,1.36,1.64,1.84,1.96,2,2,2,2,2,2
0,0,0,0,0,0,0.0400000000000001,0.16,0.36,0.64,1,1.36,1.64,1.84,1.96,2,2,2,2,2,2
